artist_name,artist_id,album_title,album_id,explicit_tracks,release_date,album_uri
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Sour Candy (with BLACKPINK),6y6lP1WRfqEhv8RLy4ufZB,False,2020-05-28,spotify:album:6y6lP1WRfqEhv8RLy4ufZB
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Rain On Me (with Ariana Grande),4TqgXMSSTwP3RCo3MMSR6t,False,2020-05-22,spotify:album:4TqgXMSSTwP3RCo3MMSR6t
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Stupid Love (Vitaclub Warehouse Mix),4WzXApqZ4kE30TDjH1bKQi,False,2020-05-15,spotify:album:4WzXApqZ4kE30TDjH1bKQi
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Stupid Love,2HDW1EX8IBI3jqobswAfrZ,False,2020-02-28,spotify:album:2HDW1EX8IBI3jqobswAfrZ
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Your Song,7hdQxJEgGZX4d92LKEhyt3,False,2018-03-30,spotify:album:7hdQxJEgGZX4d92LKEhyt3
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Joanne (Where Do You Think You're Goin'?) [Piano Version],5jqcNriHl28rS3LlmoP1fg,False,2018-01-26,spotify:album:5jqcNriHl28rS3LlmoP1fg
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Cure,2yaSZnZhaxsbQ5xhgGbw3g,False,2017-04-16,spotify:album:2yaSZnZhaxsbQ5xhgGbw3g
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Million Reasons (Andrelli Remix),5hm4Q0TO8mEbJCBLYMzhse,False,2017-03-17,spotify:album:5hm4Q0TO8mEbJCBLYMzhse
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Million Reasons (KVR Remix),29AbOu5HkL38IAHVQegd0n,False,2017-02-17,spotify:album:29AbOu5HkL38IAHVQegd0n
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Til It Happens To You,00qjYaNSNpQCZHhCpAlH60,False,2015-09-18,spotify:album:00qjYaNSNpQCZHhCpAlH60
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Winter Wonderland,5Falr8WxTe6dZOTtWEUIVS,False,2014-12-09,spotify:album:5Falr8WxTe6dZOTtWEUIVS
